Latitude,Longitude,Satellites, HDOP,Altitude(m),Speed(km/h),Course(°),GPSTime,RTCTime
0.827774,106.696174,10,188,24.53,0,0,12:42:11,
10.82777,106.679534,10,188,25,0,0,12:42:14,
10.827746,106.696243,11,178,23.09,0,0,12:42:17,
10.827754,106.696243,11,178,21.84,0,0,12:42:30,
10.827748,106.69625,11,178,21.54,0,0,12:42:33,
10.827737,106.696258,11,178,19.73,0,0,12:42:36,
10.827724,106.696258,11,178,15.18,0,0,12:42:39,
10.827683,106.683334,11,178,10.77,0,0,12:42:46,
10.827712,106.696258,11,178,12.64,0,0,12:42:52,
10.827713,106.696258,11,178,12.71,0,0,12:42:55,
10.827708,106.696258,11,178,12.92,0,0,12:42:58,
10.827709,6.696256,11,178,12.93,0,0,12:43:01,
10.827709,106.696258,11,178,13.04,0,0,12:43:04,
10.827704,106.696266,11,179,13.08,0,0,12:43:07,
10.8277,106.696266,11,179,13.09,0,0,12:43:10,
10.827696,106.696273,11,179,13.1,0,0,12:43:13,
10.827694,106.696281,11,179,13.11,0,0,12:43:16,
10.827691,106.696281,11,179,13.11,0,0,12:43:20,
10.827691,106.696273,11,179,13.12,0,0,12:43:23,
10.827692,106.696281,11,179,13.27,0,0,12:43:27,
10.827692,106.696281,11,179,13.34,0,0,12:43:30,
10.827692,106.696289,11,179,13.34,0,0,12:43:33,
10.827696,106.696296,11,179,13.34,0,0,12:43:36,
10.827694,106.696304,11,179,13.32,0,0,12:43:39,
10.827688,106.696296,11,179,13.31,0,0,12:43:43,
10.827684,106.696296,11,179,13.36,0,0,12:43:47,
10.827685,106.696304,11,180,13.38,0,0,12:43:51,
10.827685,106.696304,11,180,13.37,0,0,12:43:57,
10.827683,106.696296,11,180,13.21,0,0,12:44:00,
10.827672,106.696304,11,180,12.5,0,0,12:44:05,
10.82767,106.679641,11,180,12.47,0,0,12:44:08,
10.827664,106.696304,10,186,12.4,0,0,12:44:12,
10.827663,106.696304,11,180,12.38,0,0,12:44:15,
10.827664,106.696296,10,186,12.38,0,0,12:44:21,
10.827668,106.696281,10,185,12.39,0,0,12:44:28,
10.827676,106.696258,10,186,12.42,0,0,12:44:36,
10.827685,106.69625,10,186,12.45,0,0,12:44:39,
10.827697,106.696235,10,186,12.45,0,0,12:44:44,
0.827701,106.696235,11,180,12.48,0,0,12:44:47,
10.827705,106.696235,11,180,12.48,0,0,12:44:50,
10.827709,106.696243,11,180,12.46,0,0,12:44:54,
10.827708,106.696243,11,180,12.45,0,0,12:44:58,
10.827712,106.696243,10,186,12.45,0,0,12:45:03,
10.827715,106.69622,10,186,12.98,0,0,12:45:12,
10.827715,106.69622,10,186,13.11,0,0,12:44:15,
10.827722,106.696205,10,187,13.2,0,0,12:45:20,
10.827721,106.696205,10,187,13.29,0,0,12:45:24,
10.827724,106.696197,10,187,13.32,0,0,12:45:30,
10.827723,106.696197,10,187,13.42,0,0,12:45:33,
10.827719,106.696189,10,187,13.45,0,0,12:45:36,
10.827715,106.696197,10,187,13.45,0,0,12:45:39,
10.827719,106.696189,10,187,13.45,0,0,12:45:43,
10.827726,107.696182,10,187,13.23,0,0,12:45:50,
10.827721,106.696174,10,187,13.16,0,0,12:45:57,
10.827723,106.696166,10,187,13.16,0,0,12:46:02,
10.827725,106.696166,10,187,13.15,0,0,12:46:05,
