ThoiGian, DoSang (lx), Odor
2025-02-22T16:01:50, 97.5, 341
2025-02-22T16:01:53, 97.5, 336
2025-02-22T16:01:54, 97.5, 335
2025-02-22T16:01:55, 98.3, 335
2025-02-22T16:01:56, 97.5, 333
2025-02-22T16:01:57, 97.5, 333
2025-02-22T16:01:58, 100.8, 329
2025-02-22T16:01:59, 100.8, 330
2025-02-22T16:02:01, 101.7, 331
2025-02-22T16:02:02, 100.8, 325
2025-02-22T16:02:03, 100.8, 326
2025-02-22T16:02:04, 100.8, 324
2025-02-22T16:02:05, 94.2, 323
2025-02-22T16:02:06, 91.7, 320
2025-02-22T16:02:07, 100.0, 322
2025-02-22T16:02:08, 99.2, 324
2025-02-22T16:02:09, 100.0, 325
2025-02-22T16:02:10, 90.8, 328
