AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
-0.55,0.39,9.16,0.00,-0.00,-0.00,36.88,33.88,6.69
-0.51,0.39,9.17,0.00,-0.00,0.00,37.25,34.56,7.06
-0.49,0.42,9.13,0.00,-0.00,0.00,36.88,34.25,6.25
-0.53,0.40,9.15,-0.00,-0.00,0.00,36.56,33.88,6.25
-0.51,0.41,9.15,0.00,0.00,-0.00,36.56,34.56,7.38
-0.46,0.41,9.17,-0.00,0.00,-0.00,36.56,34.25,6.25
-0.51,0.40,9.20,-0.00,-0.00,-0.00,37.25,34.25,7.38
-0.49,0.41,9.21,0.00,-0.00,0.00,36.56,34.25,7.38
-0.52,0.39,9.17,0.00,-0.00,0.00,36.88,34.25,6.69
-0.50,0.41,9.16,0.00,0.00,-0.00,36.56,34.56,7.75
-0.52,0.41,9.17,0.00,0.00,0.00,36.56,33.88,7.38
-0.50,0.41,9.17,-0.00,0.00,-0.00,37.25,34.56,7.06
-0.49,0.42,9.16,0.00,0.00,-0.00,36.88,34.25,8.56
-0.51,0.39,9.18,-0.00,-0.00,-0.00,37.25,34.56,7.06
-0.49,0.38,9.15,0.00,0.00,0.00,37.25,33.88,6.25
-0.46,0.38,9.15,-0.00,-0.00,-0.00,36.56,34.25,7.06
-0.55,0.40,8.91,-0.03,-0.00,-0.00,36.56,34.25,7.06
-0.48,0.43,9.20,-0.00,-0.00,0.00,22.56,20.87,4.56
-0.54,0.50,9.09,-0.00,0.00,0.00,22.56,20.87,4.56
-0.50,0.43,9.15,0.00,0.00,0.00,23.37,20.87,3.06
-0.48,0.43,9.14,-0.00,-0.00,-0.00,21.87,20.50,5.06
-0.52,0.40,9.16,0.00,0.00,-0.00,23.00,21.19,5.06
-0.51,0.45,9.12,0.00,-0.00,0.00,22.25,21.56,3.88
-0.49,0.41,9.20,-0.00,0.00,-0.00,22.25,20.50,5.50
-0.47,0.42,9.15,0.00,-0.00,0.00,23.00,20.87,5.06
-0.53,0.40,9.14,0.00,-0.00,0.00,22.56,20.50,4.56
-0.48,0.41,9.15,0.00,-0.00,0.00,22.56,21.56,4.25
-0.53,0.41,9.15,0.00,0.00,-0.00,22.25,21.19,4.25
-0.49,0.39,9.15,-0.00,-0.00,0.00,23.00,21.19,3.88
-0.49,0.42,9.24,0.00,0.00,-0.00,22.56,21.19,3.88
-0.49,0.37,9.20,-0.00,0.00,0.00,23.00,20.87,4.25
-0.52,0.39,9.22,0.00,0.00,0.00,22.56,21.19,3.88
-0.53,0.36,9.18,-0.00,-0.00,0.00,23.00,21.19,3.88
-0.49,0.38,9.18,-0.00,-0.01,0.00,22.25,20.87,4.25
-0.50,0.37,9.13,-0.00,0.00,-0.00,22.25,20.50,3.06
-0.51,0.37,9.14,0.00,-0.00,0.00,22.25,21.19,5.00
-0.51,0.44,9.15,0.00,0.00,0.00,22.56,20.87,3.50
-0.53,0.38,9.18,-0.00,0.00,-0.00,22.25,21.19,4.56
-0.50,0.39,9.22,0.00,-0.00,0.00,23.37,20.87,3.88
-0.51,0.38,9.18,0.00,0.00,0.00,23.37,20.87,5.75
-0.50,0.40,9.16,-0.00,-0.00,0.00,21.87,20.06,5.75
-0.52,0.38,9.14,0.00,0.00,-0.00,20.75,21.19,3.50
-0.50,0.36,9.20,0.00,0.00,-0.00,22.56,19.69,3.88
-0.52,0.40,9.18,0.00,0.00,0.00,23.75,20.50,4.56
-0.50,0.37,9.16,-0.00,0.00,-0.00,22.25,20.50,4.56
-0.51,0.39,9.15,0.00,0.00,0.00,22.25,20.87,3.50
-0.52,0.39,9.13,-0.00,-0.00,0.00,23.37,21.19,5.06
-0.51,0.38,9.16,0.00,0.00,0.00,22.25,20.50,4.25
-0.51,0.39,9.16,0.00,0.00,0.00,22.56,20.87,4.56
-0.50,0.37,9.14,-0.00,0.00,-0.00,22.56,20.50,4.25
-0.50,0.39,9.16,-0.00,0.00,-0.00,23.00,21.56,2.69
-0.50,0.39,9.15,0.00,-0.00,-0.00,21.87,20.87,4.56
-0.54,0.42,9.16,-0.00,0.00,-0.00,22.56,21.56,4.25
-0.50,0.40,9.16,0.00,-0.00,0.00,21.06,20.50,3.88
-0.53,0.37,9.19,0.00,0.00,0.00,22.56,20.87,4.25
-0.50,0.41,9.14,0.00,-0.00,0.00,22.25,20.87,5.06
-0.50,0.38,9.16,-0.00,0.00,0.00,21.87,21.19,4.56
-0.50,0.37,9.16,0.00,-0.00,-0.00,22.56,21.19,4.56
-0.51,0.41,9.21,0.00,0.00,0.00,23.00,19.69,5.06
-0.49,0.42,9.17,0.00,-0.00,0.00,22.56,21.56,3.88
-0.49,0.44,9.16,0.00,-0.00,0.00,22.25,20.50,4.25
-0.52,0.45,9.15,-0.00,0.00,-0.00,22.56,21.19,4.56
-0.53,0.38,9.14,-0.00,-0.00,0.00,21.50,20.87,3.50
-0.53,0.39,9.18,0.00,-0.00,0.00,22.56,21.19,3.50
-0.51,0.43,9.16,0.00,0.00,0.00,22.56,20.87,4.25
-0.49,0.39,9.14,-0.00,0.00,-0.00,22.56,20.87,5.50
-0.48,0.41,9.14,0.00,-0.00,0.00,22.25,21.19,3.50
-0.46,0.37,9.13,0.00,0.00,-0.00,22.25,20.50,4.56
-0.52,0.39,9.16,0.00,-0.00,0.00,22.56,20.87,3.50
-0.49,0.37,9.18,-0.00,-0.00,-0.00,22.56,20.50,4.56
-0.51,0.40,9.24,-0.00,-0.00,-0.00,22.56,20.50,4.25
-0.51,0.40,9.19,-0.00,-0.00,-0.00,22.25,20.87,4.25
-0.50,0.44,9.17,0.00,0.00,0.00,22.25,21.56,4.56
-0.48,0.39,9.18,-0.00,0.00,0.00,23.00,20.50,4.25
-0.50,0.42,9.23,-0.01,-0.00,-0.00,23.00,20.50,4.56
-0.51,0.39,9.22,0.00,-0.01,0.00,22.25,21.19,4.56
-0.51,0.41,9.16,0.00,-0.00,0.00,22.25,21.19,4.25
-0.52,0.43,9.15,0.00,0.00,0.00,23.75,20.06,5.06
-0.52,0.37,9.20,-0.01,-0.00,0.00,22.25,21.19,5.06
-0.50,0.46,9.16,-0.00,0.00,0.00,22.50,20.69,4.06
